ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,version,Size,Length,Contribution_ID,Date_Updated
626912443cfdcb4b75a3cb00d653d531,annotation-notes.pdf,,application/pdf,media/annotation-notes.pdf,,,283903,,,
b50aac8e3ce0c7c28c0262d20eb9b616,image.jpg,,image/jpeg,media/image.jpg,,,101611,,,
fed259188c8e9397f7d5aea40ba6deb4,metadata.pdf,,application/pdf,media/metadata.pdf,,,253462,,,
bda12c1c21b0a6a7dd008ce3063afd33,translated-texts.pdf,,application/pdf,media/translated-texts.pdf,,,408496,,,
anv_mp3,mc_veraa_anv.mp3,,audio/mpeg,media/mc_veraa_anv.mp3,,,5879694,367.328,anv,
anv_wav,mc_veraa_anv.wav,,audio/x-wav,media/mc_veraa_anv.wav,,,70515756,367.26933333333335,anv,
anv_eaf,mc_veraa_anv.eaf,,application/eaf+xml,media/mc_veraa_anv.eaf,,,1065528,,anv,
anv_xml,mc_veraa_anv.xml,,application/xml,media/mc_veraa_anv.xml,,,366279,,anv,
anv_tsv,mc_veraa_anv.tsv,,text/tab-separated-values,media/mc_veraa_anv.tsv,,,56851,,anv,
as1_mp3,mc_veraa_as1.mp3,,audio/mpeg,media/mc_veraa_as1.mp3,,,5063310,316.304,as1,
as1_wav,mc_veraa_as1.wav,,audio/x-wav,media/mc_veraa_as1.wav,,,60718126,316.24,as1,
as1_eaf,mc_veraa_as1.eaf,,application/eaf+xml,media/mc_veraa_as1.eaf,,,1170377,,as1,
as1_xml,mc_veraa_as1.xml,,application/xml,media/mc_veraa_as1.xml,,,405182,,as1,
as1_tsv,mc_veraa_as1.tsv,,text/tab-separated-values,media/mc_veraa_as1.tsv,,,62730,,as1,
gabg_mp3,mc_veraa_gabg.mp3,,audio/mpeg,media/mc_veraa_gabg.mp3,,,8425230,526.424,gabg,
gabg_wav,mc_veraa_gabg.wav,,audio/x-wav,media/mc_veraa_gabg.wav,,,101063724,526.3733333333333,gabg,
gabg_eaf,mc_veraa_gabg.eaf,,application/eaf+xml,media/mc_veraa_gabg.eaf,,,972909,,gabg,
gabg_xml,mc_veraa_gabg.xml,,application/xml,media/mc_veraa_gabg.xml,,,340609,,gabg,
gabg_tsv,mc_veraa_gabg.tsv,,text/tab-separated-values,media/mc_veraa_gabg.tsv,,,52958,,gabg,
gaqg_mp3,mc_veraa_gaqg.mp3,,audio/mpeg,media/mc_veraa_gaqg.mp3,,,8523534,532.568,gaqg,
gaqg_wav,mc_veraa_gaqg.wav,,audio/x-wav,media/mc_veraa_gaqg.wav,,,102242348,532.512,gaqg,
gaqg_eaf,mc_veraa_gaqg.eaf,,application/eaf+xml,media/mc_veraa_gaqg.eaf,,,1267171,,gaqg,
gaqg_xml,mc_veraa_gaqg.xml,,application/xml,media/mc_veraa_gaqg.xml,,,434844,,gaqg,
gaqg_tsv,mc_veraa_gaqg.tsv,,text/tab-separated-values,media/mc_veraa_gaqg.tsv,,,70553,,gaqg,
hhak_mp3,mc_veraa_hhak.mp3,,audio/mpeg,media/mc_veraa_hhak.mp3,,,12160782,759.896,hhak,
hhak_wav,mc_veraa_hhak.wav,,audio/x-wav,media/mc_veraa_hhak.wav,,,145890348,759.8453333333333,hhak,
hhak_eaf,mc_veraa_hhak.eaf,,application/eaf+xml,media/mc_veraa_hhak.eaf,,,2163068,,hhak,
hhak_xml,mc_veraa_hhak.xml,,application/xml,media/mc_veraa_hhak.xml,,,743509,,hhak,
hhak_tsv,mc_veraa_hhak.tsv,,text/tab-separated-values,media/mc_veraa_hhak.tsv,,,119737,,hhak,
isam_mp3,mc_veraa_isam.mp3,,audio/mpeg,media/mc_veraa_isam.mp3,,,7110798,444.272,isam,
isam_wav,mc_veraa_isam.wav,,audio/x-wav,media/mc_veraa_isam.wav,,,85287980,444.208,isam,
isam_eaf,mc_veraa_isam.eaf,,application/eaf+xml,media/mc_veraa_isam.eaf,,,1338169,,isam,
isam_xml,mc_veraa_isam.xml,,application/xml,media/mc_veraa_isam.xml,,,458784,,isam,
isam_tsv,mc_veraa_isam.tsv,,text/tab-separated-values,media/mc_veraa_isam.tsv,,,74769,,isam,
iswm_mp3,mc_veraa_iswm.mp3,,audio/mpeg,media/mc_veraa_iswm.mp3,,,20831503,1301.968938,iswm,
iswm_wav,mc_veraa_iswm.wav,,audio/x-wav,media/mc_veraa_iswm.wav,,,250206766,1303.16,iswm,
iswm_eaf,mc_veraa_iswm.eaf,,application/eaf+xml,media/mc_veraa_iswm.eaf,,,3641876,,iswm,
iswm_xml,mc_veraa_iswm.xml,,application/xml,media/mc_veraa_iswm.xml,,,1258420,,iswm,
iswm_tsv,mc_veraa_iswm.tsv,,text/tab-separated-values,media/mc_veraa_iswm.tsv,,,200527,,iswm,
jjq_mp3,mc_veraa_jjq.mp3,,audio/mpeg,media/mc_veraa_jjq.mp3,,,29107086,1819.04,jjq,
jjq_wav,mc_veraa_jjq.wav,,audio/x-wav,media/mc_veraa_jjq.wav,,,349246508,1818.992,jjq,
jjq_eaf,mc_veraa_jjq.eaf,,application/eaf+xml,media/mc_veraa_jjq.eaf,,,4799506,,jjq,
jjq_xml,mc_veraa_jjq.xml,,application/xml,media/mc_veraa_jjq.xml,,,1658710,,jjq,
jjq_tsv,mc_veraa_jjq.tsv,,text/tab-separated-values,media/mc_veraa_jjq.tsv,,,257426,,jjq,
mvbw_mp3,mc_veraa_mvbw.mp3,,audio/mpeg,media/mc_veraa_mvbw.mp3,,,9722382,607.496,mvbw,
mvbw_wav,mc_veraa_mvbw.wav,,audio/x-wav,media/mc_veraa_mvbw.wav,,,116628524,607.44,mvbw,
mvbw_eaf,mc_veraa_mvbw.eaf,,application/eaf+xml,media/mc_veraa_mvbw.eaf,,,1705491,,mvbw,
mvbw_xml,mc_veraa_mvbw.xml,,application/xml,media/mc_veraa_mvbw.xml,,,586222,,mvbw,
mvbw_tsv,mc_veraa_mvbw.tsv,,text/tab-separated-values,media/mc_veraa_mvbw.tsv,,,96599,,mvbw,
pala_b_mp3,mc_veraa_pala_b.mp3,,audio/mpeg,media/mc_veraa_pala_b.mp3,,,6421518,401.192,pala,
pala_b_wav,mc_veraa_pala_b.wav,,audio/x-wav,media/mc_veraa_pala_b.wav,,,77017132,401.1306666666667,pala,
pala_b_eaf,mc_veraa_pala_b.eaf,,application/eaf+xml,media/mc_veraa_pala_b.eaf,,,1327860,,pala,
pala_b_xml,mc_veraa_pala_b.xml,,application/xml,media/mc_veraa_pala_b.xml,,,461657,,pala,
pala_b_tsv,mc_veraa_pala_b.tsv,,text/tab-separated-values,media/mc_veraa_pala_b.tsv,,,73005,,pala,
pala_a_mp3,mc_veraa_pala_a.mp3,,audio/mpeg,media/mc_veraa_pala_a.mp3,,,3879054,242.288,pala,
pala_a_wav,mc_veraa_pala_a.wav,,audio/x-wav,media/mc_veraa_pala_a.wav,,,46508076,242.22933333333333,pala,
pala_a_eaf,mc_veraa_pala_a.eaf,,application/eaf+xml,media/mc_veraa_pala_a.eaf,,,739576,,pala,
pala_a_xml,mc_veraa_pala_a.xml,,application/xml,media/mc_veraa_pala_a.xml,,,258944,,pala,
pala_a_tsv,mc_veraa_pala_a.tsv,,text/tab-separated-values,media/mc_veraa_pala_a.tsv,,,40245,,pala,
